1. Steph:4	Nick: 5
2. Steph:935	Nick: 790
3. Steph:966	Nick: 1086
4. Steph:1318	Nick: 1500
5. Steph:1196	Nick: 1352
6. Steph:1083	Nick: 845
7. Steph:2150	Nick: 2576
8. Steph:1514	Nick: 1644
9. Steph:1649	Nick: 2078
10. Steph:580	Nick: 816
11. Steph:763	Nick: 1063
12. Steph:548	Nick: 867
13. Steph:1289	Nick: 1865
14. Steph:746	Nick: 1039
15. Steph:836	Nick: 1016
16. Steph:455	Nick: 529
17. Steph:924	Nick: 1376
18. Steph:638	Nick: 783
19. Steph:762	Nick: 1077
20. Steph:715	Nick: 952
21. Steph:109	Nick: 187
22. Steph:154	Nick: 318
23. Steph:131	Nick: 242
24. Steph:67	Nick: 74
25. Steph:423	Nick: 497
26. Steph:157	Nick: 222
27. Steph:168	Nick: 233
28. Steph:0	Nick: 1
